Vegetable Category;Vegetable;10.11.2020;17.11.2020;24.11.2020;01.12.2020;08.12.2020;15.12.2020;22.12.2020;29.12.2020;05.01.2021;12.01.2021;19.01.2021;26.01.2021;02.02.2021;09.02.2021;16.02.2021;23.02.2021;02.03.2021;09.03.2021;16.03.2021;23.03.2021;30.03.2021;06.04.2021;13.04.2021;20.04.2021;27.04.2021;04.05.2021;11.05.2021;18.05.2021;25.05.2021;01.06.2021;08.06.2021;15.06.2021;22.06.2021;29.06.2021;06.07.2021;13.07.2021;20.07.2021;27.07.2021;03.08.2021;10.08.2021;17.08.2021;24.08.2021;31.08.2021;07.09.2021;14.09.2021;21.09.2021;28.09.2021;05.10.2021;12.10.2021;19.10.2021;26.10.2021;02.11.2021;09.11.2021;16.11.2021;23.11.2021;30.11.2021;07.12.2021;14.12.2021;21.12.2021;28.12.2021;;Total;Average
Tomato;Tomato;279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;444;512;811;1163;587;991;;;328;601;553;616;;611;;;;;521;;379;;;;;;;;;8396;600
Cucumber;Cucumber;;;;;;;;;;;;;;;;;;;;;;;;;;;151;;;140;146;142;151;209;228;387;310;505;;;308;382;105;142;;332;;;;;;;;;;;;;;;;3638;243
Aubergine;Aubergine;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;286;295;;;;415;;;;;;;;;143;;;;;;;;;;;;;;;;1248;250
Corn;Corn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;634;;;;;405;;454;;;;;;;;;;;;1493;498
Celery;Stalk celery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;363;;;;;;;212;;158;;;;;;;;;;;;;;;733;244
Celery;Root celery;;;870;;;;;;;;;786;;;;929;;;;1488;;485;550;;577;;488;;;;672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6845;761
Fennel;Fennel;;676;;;873;;;;;;;;;;;;;;;;;;;;;580;486;;;650;645;607;811;647;588;397;661;;;;;545;;404;;;554;632;;;;545;;;;;;;;;;10301;606
Leek;Leek;;;;;;;750;;;746;;;;941;;488;;;710;;453;;;;624;;712;;;449;;;;;;;;;;;;;;;;;;;;;712;;;;;;;;;;;6585;659
Peas;Peas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
Beans;Beans (Green);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;390;503;;;502;;476;;;405;;410;;;;;;;;;;;;;;2686;448
Beans;Beans (Purple);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
Beans ;Beans (Yellow/White);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
Broccoli;Broccoli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;517;676;;;;474;;;;;;;;;;;;;;;;402;;;;;;;;;;2419;484
Broccoli;Cauliflower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1037;763;663;;;;;;;;535;;;;;306;;;;;;;;;;;;;;;;3304;661
Broccoli;Romanesco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
Leafy Greens;Spinach;;;;;405;;;;;;;;;;;;;;375;;;;;;507;505;456;;;500;;;505;;;;;;;;;;;;;;522;518;;530;;;530;;;;;;;;;5353;487
Leafy Greens;Pakchoi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;227;;;;;;;;;;319;;;;;;;;;;;;;;;;;546;273
Leafy Greens;Kale;;;;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;505;505
Leafy Greens;Cattaluna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;591;;;;;;;;362;;;;;;;;;;
Leafy Greens;Krautstiel;;;;;;;500;;;;;;;;;;;273;;214;261;;;;;;;;;;;479;;498;;;;431;;;;;;;;;;;;;;;;;;;;;;;;2656;379
Leafy Greens;Mangold;;450;;;;;;;;;;;;;;;;;;;;;;405;;;;;;;;;;;;;;;;;;;;;616;;;;;;;;;505;;;;;;;;1976;494
